feature_shap,feature
0.03592,secondary_cleaner.state.floatbank2_a_air_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.03571,rougher.input.feed_sol_diff_rougher.input.floatbank10_xanthate
0.03559,rougher.state.floatbank10_a_level_poly_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.03474,rougher.state.floatbank10_f_air
0.03408,value__maximum_p6_rougher.input.feed_pb
0.03396,value__quantile__q_0.05_p120_rougher.input.feed_fe
0.03384,deriv1_rougher.input.feed_zn_rat_encod_val_primary_cleaner.input.copper_sulfate
0.03382,value__maximum_p6_rougher.input.feed_fe_diff_secondary_cleaner.state.floatbank2_a_air
0.03363,value__max_min_diff_p120_rougher.input.feed_sol
0.03357,encod_val_rougher.input.feed_zn_poly_encod_val_rougher.input.feed_pb
0.03349,diff_rougher.input.feed_fe_s3b1
0.03341,primary_cleaner.input.copper_sulfate_diff_value__maximum_p6_rougher.input.feed_fe
0.03293,rougher.input.feed_fe_diff_encod_val_primary_cleaner.input.feed_size
0.03263,encod_rel_rougher.input.feed_zn
0.03240,value__skewness_p120_rougher.input.feed_sol
0.03219,rougher.input.feed_fe_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.03210,encod_dif_rougher.input.feed_zn
0.03200,deriv1_rougher.state.floatbank10_c_level
0.03132,rougher.input.feed_fe_diff_primary_cleaner.input.copper_sulfate
0.03056,value__quantile__q_0.95_p120_rougher.input.feed_pb
0.03031,value__skewness_p120_rougher.input.feed_fe
0.03025,rougher.state.floatbank10_c_level
0.03004,value__quantile__q_0.95_p120_rougher.input.feed_rate
0.03002,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.02997,value__linear_trend__attr_slope_p24_rougher.input.feed_fe
0.02983,value__max_slope_p12_rougher.input.floatbank11_xanthate
0.02970,value__mean_p6_rougher.input.feed_rate
0.02968,value__maximum_p6_rougher.input.feed_fe_poly_secondary_cleaner.state.floatbank2_a_air
0.02946,value__kurtosis_p120_rougher.input.feed_rate
0.02935,diff_encod_val_rougher.input.feed_zn_s2b0
0.02930,value__quantile__q_0.95_p24_rougher.state.floatbank10_b_air
0.02882,value__quantile__q_0.95_p24_rougher.input.feed_fe_diff_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02872,rel_rougher.state.floatbank10_c_level_s3b0
0.02859,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.02825,value__min_slope_p120_rougher.input.feed_pb
0.02821,value__quantile__q_0.95_p24_rougher.input.feed_sol
0.02809,value__min_slope_p6_rougher.input.feed_sol
0.02805,value__maximum_p6_rougher.input.feed_fe_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.02803,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.02795,value__quantile__q_0.95_p120_rougher.input.feed_pb_poly_encod_val_rougher.input.feed_pb
0.02794,value__mean_abs_change_p120_rougher.input.feed_pb
0.02768,deriv1_rougher.input.floatbank11_xanthate
0.02748,rougher.input.feed_fe_diff_deriv1_rougher.input.feed_zn
0.02724,value__quantile__q_0.95_p120_rougher.input.feed_pb_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02721,value__quantile__q_0.05_p120_rougher.input.floatbank10_copper_sulfate
0.02692,primary_cleaner.input.copper_sulfate_diff_value__minimum_p6_rougher.input.floatbank11_xanthate
0.02664,value__max_min_diff_p120_rougher.input.feed_pb
0.02642,encod_val_rougher.input.feed_pb
0.02638,value__quantile__q_0.05_p24_rougher.input.floatbank10_copper_sulfate
0.02625,deriv1_rougher.input.feed_zn_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.02610,value__quantile__q_0.95_p120_rougher.input.feed_pb_diff_rougher.input.floatbank10_xanthate
0.02601,rougher.state.floatbank10_b_level
0.02599,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank11_xanthate
0.02586,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.02579,value__mean_abs_change_p120_rougher.input.floatbank11_xanthate
0.02567,value__quantile__q_0.95_p120_rougher.input.feed_zn
0.02542,diff_rougher.input.feed_zn_s2b0
0.02538,value__quantile__q_0.95_p24_rougher.input.feed_fe_poly_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02491,encod_val_rougher.input.feed_fe_rat_encod_val_rougher.input.feed_pb
0.02480,encod_val_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02427,rougher.state.floatbank10_a_level_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02423,rougher.input.feed_sol_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02405,primary_cleaner.input.copper_sulfate_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.02389,value__quantile__q_0.95_p24_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02378,deriv2_rougher.input.feed_rate
0.02347,encod_val_rougher.input.feed_pb_rat_rougher.input.floatbank10_xanthate
0.02344,value__skewness_p120_rougher.input.feed_rate
0.02274,rougher.input.feed_sol_poly_rougher.input.floatbank10_xanthate
0.02267,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.floatbank11_xanthate
0.02245,rougher.input.feed_pb
0.02234,encod_val_rougher.input.feed_pb_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02222,value__quantile__q_0.95_p24_rougher.input.floatbank11_xanthate
0.02199,rougher.state.floatbank10_e_air
0.02185,value__linear_trend__attr_slope_p120_rougher.state.floatbank10_b_air
0.02181,deriv1_rougher.input.feed_zn_poly_secondary_cleaner.state.floatbank2_a_air
0.02171,rougher.state.floatbank10_b_air
0.02168,value__mean_abs_change_p120_rougher.input.feed_sol
0.02151,value__max_slope_p24_rougher.input.feed_rate
0.02137,value__maximum_p6_rougher.input.floatbank10_copper_sulfate
0.02131,rougher.input.feed_sol_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02124,rougher.state.floatbank10_a_level_poly_encod_val_rougher.input.feed_fe
0.02121,value__maximum_p6_rougher.input.floatbank11_xanthate
0.02107,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_rate
0.02105,rougher.input.feed_sol_rat_rougher.input.floatbank10_xanthate
0.02095,value__fft_aggregated__aggtype_skew_p120_rougher.state.floatbank10_b_air
