feature_shap,feature
0.03595,encod_rel_rougher.input.feed_pb
0.03493,value__maximum_p6_rougher.state.floatbank10_b_air
0.03446,rougher.state.floatbank10_b_level
0.03420,rougher.input.feed_pb
0.03377,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_rate
0.03372,value__quantile__q_0.95_p24_rougher.input.floatbank11_xanthate
0.03351,rel_encod_val_rougher.input.feed_fe_s3b0
0.03292,dayw
0.03265,value__kurtosis_p120_rougher.state.floatbank10_b_air
0.03238,value__absolute_sum_of_changes_p120_rougher.input.floatbank11_xanthate
0.03237,deriv1_encod_val_rougher.input.feed_pb
0.03208,value__linear_trend__attr_slope_p120_rougher.state.floatbank10_b_air
0.03205,value__skewness_p24_rougher.input.floatbank11_xanthate
0.03197,value__quantile__q_0.05_p24_rougher.input.floatbank11_xanthate
0.03126,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.03115,value__absolute_sum_of_changes_p24_rougher.state.floatbank10_b_air
0.03092,deriv2_rougher.input.feed_zn
0.03079,value__fft_aggregated__aggtype_variance_p120_rougher.input.floatbank10_copper_sulfate
0.03012,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.02981,rougher.state.floatbank10_e_level
0.02950,value__quantile__q_0.05_p24_rougher.input.feed_fe
0.02946,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.02930,value__quantile__q_0.95_p12_rougher.input.floatbank10_copper_sulfate
0.02887,value__skewness_p120_rougher.state.floatbank10_b_air
0.02879,value__skewness_p120_rougher.input.feed_zn
0.02815,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.floatbank11_xanthate
0.02762,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.02728,deriv1_encod_val_rougher.input.feed_fe
0.02695,value__linear_trend__attr_slope_p120_rougher.input.feed_sol
0.02654,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.02639,value__absolute_sum_of_changes_p24_rougher.input.feed_zn
0.02611,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_zn
0.02596,value__fft_aggregated__aggtype_variance_p24_rougher.state.floatbank10_b_air
0.02538,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.02538,value__kurtosis_p120_rougher.input.feed_rate
0.02465,encod_rel_rougher.input.feed_zn
0.02459,value__skewness_p24_rougher.input.feed_sol
0.02441,value__linear_trend__attr_slope_p120_rougher.input.feed_zn
0.02428,value__absolute_sum_of_changes_p24_rougher.input.floatbank10_copper_sulfate
0.02394,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.02378,value__skewness_p120_rougher.input.floatbank11_xanthate
0.02374,deriv2_rougher.input.feed_fe
0.02369,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank10_copper_sulfate
0.02364,diff_rougher.input.feed_fe_s3b1
0.02316,value__fft_aggregated__aggtype_centroid_p120_rougher.input.floatbank11_xanthate
0.02296,value__absolute_sum_of_changes_p6_rougher.input.feed_sol
0.02288,value__quantile__q_0.05_p12_rougher.input.feed_zn
0.02284,value__absolute_sum_of_changes_p120_rougher.input.feed_rate
0.02267,value__mean_second_derivative_central_p24_rougher.input.feed_rate
0.02261,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_pb
0.02215,value__skewness_p12_rougher.input.floatbank10_copper_sulfate
0.02208,deriv1_rougher.state.floatbank10_c_level
0.02159,value__linear_trend__attr_slope_p12_rougher.input.feed_sol
0.02155,value__linear_trend__attr_slope_p24_rougher.input.floatbank11_xanthate
0.02139,value__quantile__q_0.95_p24_rougher.input.feed_zn
0.02101,value__linear_trend__attr_slope_p24_rougher.state.floatbank10_b_air
0.02097,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_rate
0.02076,value__absolute_sum_of_changes_p6_rougher.input.feed_zn
0.02026,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.02022,rougher.state.floatbank10_f_level
0.02006,value__kurtosis_p120_rougher.input.floatbank11_xanthate
0.01952,value__minimum_p6_rougher.state.floatbank10_b_air
0.01915,value__absolute_sum_of_changes_p120_rougher.input.feed_fe
0.01891,value__skewness_p120_rougher.input.feed_pb
0.01882,value__kurtosis_p120_rougher.input.feed_fe
0.01876,value__kurtosis_p24_rougher.input.feed_rate
0.01828,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_pb
0.01798,value__quantile__q_0.05_p24_rougher.input.feed_pb
0.01791,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_pb
0.01784,value__linear_trend__attr_slope_p120_rougher.input.feed_rate
0.01765,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_pb
0.01745,value__mean_p6_rougher.input.feed_zn
0.01733,rel_rougher.input.floatbank10_xanthate_s3b0
0.01728,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.01715,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_zn
0.01715,value__maximum_p6_rougher.input.feed_zn
0.01714,value__maximum_p6_rougher.input.floatbank10_copper_sulfate
0.01695,value__quantile__q_0.95_p120_rougher.input.feed_rate
0.01669,rel_rougher.state.floatbank10_c_level_s3b0
0.01639,value__kurtosis_p120_rougher.input.floatbank10_copper_sulfate
