feature_shap,feature
0.03481,rougher.state.floatbank10_a_level_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.03437,value__quantile__q_0.95_p120_rougher.input.feed_rate
0.03392,value__quantile__q_0.05_p120_rougher.input.feed_sol
0.03349,value__maximum_p6_rougher.input.feed_rate
0.03349,diff_primary_cleaner.input.depressant_s2b0
0.03343,rougher.state.floatbank10_c_air
0.03340,value__quantile__q_0.95_p120_primary_cleaner.input.xanthate
0.03278,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.03203,secondary_cleaner.state.floatbank4_b_air
0.03187,value__quantile__q_0.05_p120_primary_cleaner.state.floatbank8_a_air
0.03159,secondary_cleaner.state.floatbank6_a_air
0.03154,rougher.state.floatbank10_a_level_rat_encod_val_rougher.input.feed_pb
0.03154,rougher.input.feed_zn_normalized_lag_6
0.03147,secondary_cleaner.state.floatbank5_b_level
0.03135,primary_cleaner.input.copper_sulfate
0.03128,rel_rougher.state.floatbank10_c_level_s3b0
0.03113,rougher.input.feed_sol_poly_rougher.input.floatbank10_xanthate
0.03067,rougher.input.feed_sol_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.03043,primary_cleaner.input.copper_sulfate_rat_encod_val_primary_cleaner.input.copper_sulfate
0.03041,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.03035,primary_cleaner.input.copper_sulfate_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.03012,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.02986,encod_val_primary_cleaner.input.feed_size_rat_value__minimum_p6_rougher.input.floatbank11_xanthate
0.02960,encod_val_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02937,encod_dif_rougher.input.feed_pb_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.02929,value__quantile__q_0.05_p24_rougher.input.feed_rate
0.02929,primary_cleaner.input.depressant_normalized_lag_6
0.02924,diff_encod_val_rougher.input.feed_pb_s2b0
0.02907,deriv2_primary_cleaner.input.copper_sulfate
0.02902,value__min_slope_p12_primary_cleaner.input.depressant
0.02880,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.02834,value__maximum_p6_rougher.input.feed_pb
0.02831,value__quantile__q_0.05_p24_secondary_cleaner.state.floatbank5_a_air
0.02828,value__kurtosis_p24_secondary_cleaner.state.floatbank5_a_air
0.02732,encod_val_rougher.input.feed_fe_diff_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02730,value__quantile__q_0.95_p24_primary_cleaner.input.depressant
0.02719,primary_cleaner.input.feed_size_normalized_lag_6
0.02698,primary_cleaner.state.floatbank8_a_level
0.02677,value__skewness_p120_primary_cleaner.input.feed_size
0.02587,value__minimum_p6_rougher.input.floatbank11_xanthate_diff_encod_dif_rougher.input.feed_pb
0.02587,value__skewness_p24_rougher.input.feed_rate
0.02584,value__mean_p6_rougher.input.feed_pb
0.02566,value__min_slope_p24_secondary_cleaner.state.floatbank5_a_air
0.02558,encod_val_rougher.input.feed_pb_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02536,rougher.input.feed_pb_normalized_lag_6
0.02534,value__max_min_diff_p120_rougher.input.feed_sol
0.02504,value__min_slope_p24_primary_cleaner.input.depressant
0.02502,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.02490,value__mean_second_derivative_central_p6_rougher.input.floatbank11_xanthate
0.02474,value__maximum_p6_rougher.input.feed_fe_diff_secondary_cleaner.state.floatbank2_a_air
0.02466,encod_dif_primary_cleaner.input.depressant
0.02437,value__quantile__q_0.05_p120_primary_cleaner.input.xanthate
0.02430,deriv1_rougher.input.feed_zn_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.02429,deriv1_rougher.input.feed_zn_rat_secondary_cleaner.state.floatbank2_a_air
0.02416,value__quantile__q_0.95_p120_rougher.input.feed_pb_poly_rougher.input.floatbank10_xanthate
0.02414,rougher.input.feed_zn
0.02399,primary_cleaner.state.floatbank8_c_air
0.02384,rougher.input.floatbank10_xanthate_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.02373,encod_dif_primary_cleaner.input.copper_sulfate
0.02371,deriv1_rougher.input.feed_zn_poly_encod_val_primary_cleaner.input.copper_sulfate
0.02361,value__skewness_p120_secondary_cleaner.state.floatbank5_a_air
0.02333,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_rate
0.02311,value__max_slope_p24_primary_cleaner.state.floatbank8_a_air
0.02311,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.02308,value__skewness_p12_rougher.input.feed_fe
0.02290,value__quantile__q_0.95_p120_rougher.input.feed_sol
0.02244,value__quantile__q_0.95_p120_rougher.input.feed_pb_rat_rougher.input.floatbank10_xanthate
0.02244,encod_val_rougher.input.feed_zn_poly_encod_val_rougher.input.feed_pb
0.02236,encod_val_rougher.input.feed_fe_diff_encod_val_rougher.input.feed_pb
0.02221,encod_val_rougher.input.feed_fe_rat_encod_val_rougher.input.feed_zn
0.02192,diff_rougher.input.feed_sol_s2b0
0.02189,value__kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.02179,value__min_slope_p120_primary_cleaner.input.depressant
0.02179,encod_dif_rougher.input.feed_pb_poly_encod_val_primary_cleaner.input.copper_sulfate
0.02172,value__quantile__q_0.95_p120_rougher.input.floatbank10_copper_sulfate
0.02165,value__quantile__q_0.95_p24_primary_cleaner.input.xanthate
0.02162,rougher.input.feed_fe_poly_primary_cleaner.input.copper_sulfate
0.02152,rel_rougher.input.feed_zn_s3b0
0.02152,value__quantile__q_0.05_p24_primary_cleaner.input.xanthate
0.02140,value__quantile__q_0.95_p120_primary_cleaner.input.copper_sulfate
0.02124,value__max_slope_p120_rougher.input.feed_sol
0.02113,value__quantile__q_0.95_p24_rougher.state.floatbank10_b_air
0.02110,rougher.state.floatbank10_a_level_poly_encod_val_rougher.input.feed_pb
0.02105,value__min_slope_p120_primary_cleaner.input.feed_size
0.02093,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.02074,rougher.state.floatbank10_d_air
0.02056,value__mean_p6_rougher.input.floatbank11_xanthate
0.02043,deriv1_primary_cleaner.state.floatbank8_d_level
0.02042,value__quantile__q_0.05_p12_primary_cleaner.input.xanthate
0.02037,value__maximum_p6_primary_cleaner.input.depressant
0.02028,encod_val_rougher.input.feed_zn_poly_rougher.input.feed_sol
0.02012,encod_val_rougher.input.feed_fe_poly_encod_val_rougher.input.feed_pb
0.01998,value__fft_aggregated__aggtype_centroid_p12_primary_cleaner.input.copper_sulfate
0.01988,value__max_min_diff_p120_primary_cleaner.input.xanthate
0.01968,rel_primary_cleaner.input.copper_sulfate_s3b0
0.01966,rel_rougher.input.floatbank10_xanthate_s3b0
0.01956,value__linear_trend__attr_slope_p120_primary_cleaner.state.floatbank8_a_air
0.01944,secondary_cleaner.state.floatbank5_b_air
0.01941,value__max_slope_p12_primary_cleaner.input.xanthate
0.01937,value__linear_trend__attr_slope_p24_rougher.input.feed_fe
0.01926,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.01924,deriv2_rougher.input.feed_rate
0.01905,deriv1_encod_rel_rougher.input.feed_zn
0.01905,value__maximum_p6_secondary_cleaner.state.floatbank5_a_air
0.01892,primary_cleaner.state.floatbank8_d_air
0.01891,value__mean_abs_change_p120_primary_cleaner.input.copper_sulfate
0.01884,value__mean_abs_change_p24_rougher.input.feed_pb
0.01884,value__max_slope_p6_rougher.input.feed_rate
0.01880,primary_cleaner.input.copper_sulfate_diff_encod_val_primary_cleaner.input.copper_sulfate
0.01874,value__min_slope_p120_rougher.input.feed_pb
0.01852,value__max_slope_p120_primary_cleaner.input.feed_size
0.01845,value__quantile__q_0.95_p120_primary_cleaner.input.feed_size
0.01844,primary_cleaner.state.floatbank8_c_level
0.01831,value__quantile__q_0.95_p120_rougher.input.feed_pb_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01817,value__quantile__q_0.95_p120_rougher.input.feed_pb_poly_encod_val_rougher.input.feed_pb
0.01817,encod_val_rougher.input.feed_pb_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01806,encod_val_primary_cleaner.input.feed_size_poly_value__minimum_p6_rougher.input.floatbank11_xanthate
0.01797,value__min_slope_p12_rougher.input.feed_fe
0.01785,value__max_slope_p24_primary_cleaner.input.depressant
0.01785,value__quantile__q_0.05_p120_rougher.state.floatbank10_b_air
0.01783,value__quantile__q_0.05_p120_rougher.input.floatbank11_xanthate
0.01779,value__max_slope_p24_rougher.state.floatbank10_b_air
0.01775,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.01751,value__min_slope_p120_primary_cleaner.input.xanthate
0.01742,diff_encod_val_rougher.input.feed_zn_s2b0
0.01723,rougher.input.floatbank11_copper_sulfate
0.01708,value__maximum_p6_rougher.input.feed_fe_poly_encod_val_primary_cleaner.input.copper_sulfate
0.01707,value__linear_trend__attr_slope_p24_primary_cleaner.input.depressant
0.01702,value__linear_trend__attr_slope_p120_primary_cleaner.input.xanthate
0.01689,rougher.state.floatbank10_e_air
0.01687,secondary_cleaner.state.floatbank2_a_level
0.01679,value__min_slope_p12_rougher.input.feed_zn
0.01674,value__quantile__q_0.95_p120_rougher.input.feed_pb_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01665,secondary_cleaner.state.floatbank3_b_air
0.01658,rougher.input.floatbank10_xanthate
0.01657,value__mean_p6_primary_cleaner.state.floatbank8_a_air
0.01652,encod_val_rougher.input.feed_fe_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01650,rougher.input.feed_fe_diff_primary_cleaner.input.copper_sulfate
0.01645,value__max_slope_p12_primary_cleaner.input.copper_sulfate
0.01638,value__max_min_diff_p24_rougher.input.feed_zn
0.01634,rougher.input.feed_fe_poly_deriv1_rougher.input.feed_zn
0.01631,value__mean_abs_change_p120_primary_cleaner.input.xanthate
0.01620,value__skewness_p24_primary_cleaner.input.copper_sulfate
0.01619,value__quantile__q_0.05_p24_primary_cleaner.input.feed_size
0.01614,encod_dif_primary_cleaner.state.floatbank8_a_level
0.01613,deriv1_primary_cleaner.input.depressant
0.01612,deriv2_rougher.input.feed_pb
0.01609,diff_primary_cleaner.state.floatbank8_d_level_s2b0
0.01609,rougher.input.feed_fe_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01596,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_zn
0.01592,value__skewness_p120_rougher.state.floatbank10_b_air
0.01592,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_sol
0.01574,encod_val_rougher.input.feed_zn_poly_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01573,value__quantile__q_0.05_p12_primary_cleaner.input.copper_sulfate
0.01572,value__maximum_p6_rougher.input.feed_fe_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01562,value__quantile__q_0.05_p24_primary_cleaner.input.depressant
0.01535,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank11_xanthate
0.01515,value__max_slope_p120_secondary_cleaner.state.floatbank5_a_air
0.01504,value__max_min_diff_p24_rougher.input.feed_fe
0.01504,encod_val_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01493,deriv2_primary_cleaner.state.floatbank8_d_level
0.01492,value__maximum_p6_rougher.input.feed_fe_rat_encod_val_primary_cleaner.input.copper_sulfate
0.01466,encod_val_rougher.input.feed_zn_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01461,value__max_slope_p24_rougher.input.feed_zn
0.01459,value__quantile__q_0.95_p24_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01455,value__max_slope_p24_rougher.input.feed_rate
0.01455,value__quantile__q_0.05_p24_rougher.state.floatbank10_b_air
0.01454,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_fe
0.01453,value__max_min_diff_p120_rougher.input.feed_zn
0.01448,deriv1_rougher.input.floatbank11_xanthate
0.01445,encod_val_primary_cleaner.input.xanthate
0.01441,value__max_slope_p120_rougher.input.feed_zn
0.01441,deriv1_rougher.input.feed_zn
0.01431,rel_primary_cleaner.state.floatbank8_d_level_s3b0
0.01424,value__mean_p6_primary_cleaner.input.depressant
0.01418,value__fft_aggregated__aggtype_variance_p120_primary_cleaner.input.copper_sulfate
0.01416,value__max_slope_p120_rougher.input.feed_rate
0.01410,primary_cleaner.state.floatbank8_a_air
0.01402,value__skewness_p24_rougher.input.feed_zn
0.01400,value__min_slope_p24_primary_cleaner.input.copper_sulfate
0.01399,encod_val_rougher.input.feed_fe_poly_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01397,rougher.state.floatbank10_a_level_poly_encod_val_rougher.input.feed_fe
0.01396,value__min_slope_p120_rougher.input.floatbank11_xanthate
0.01395,value__skewness_p24_secondary_cleaner.state.floatbank5_a_air
0.01394,value__quantile__q_0.05_p24_primary_cleaner.input.copper_sulfate
0.01392,value__quantile__q_0.05_p12_primary_cleaner.input.depressant
0.01387,diff_primary_cleaner.state.floatbank8_c_level_s2b0
0.01385,value__quantile__q_0.95_p120_rougher.input.feed_zn
0.01384,value__mean_second_derivative_central_p120_primary_cleaner.input.xanthate
0.01380,value__mean_second_derivative_central_p12_primary_cleaner.input.copper_sulfate
0.01379,encod_dif_rougher.input.feed_zn
0.01373,value__skewness_p120_rougher.input.feed_pb
0.01373,primary_cleaner.input.depressant
0.01368,value__max_slope_p6_rougher.input.feed_zn
0.01360,diff_rougher.input.feed_size_s3b1
0.01353,value__kurtosis_p12_rougher.input.feed_fe
0.01352,value__max_slope_p24_primary_cleaner.input.copper_sulfate
0.01344,encod_val_rougher.input.feed_fe_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01335,value__quantile__q_0.95_p24_rougher.input.feed_fe_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01321,value__linear_trend__attr_slope_p120_rougher.input.feed_pb
0.01318,value__kurtosis_p120_primary_cleaner.input.xanthate
0.01306,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_fe
0.01306,primary_cleaner.input.copper_sulfate_normalized_lag_6
0.01299,deriv1_rougher.input.feed_zn_poly_secondary_cleaner.state.floatbank2_a_air
0.01299,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.01293,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01282,value__linear_trend__attr_slope_p24_secondary_cleaner.state.floatbank5_a_air
0.01276,value__quantile__q_0.95_p24_rougher.input.feed_fe_poly_encod_val_primary_cleaner.input.copper_sulfate
0.01276,rougher.input.feed_rate_normalized_lag_6
0.01274,encod_val_rougher.input.feed_zn_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01274,value__maximum_p6_rougher.input.feed_fe_rat_value__minimum_p6_rougher.input.floatbank11_xanthate
0.01269,deriv2_encod_rel_rougher.input.feed_zn
0.01264,value__quantile__q_0.05_p120_rougher.input.floatbank10_copper_sulfate
0.01256,value__max_min_diff_p120_secondary_cleaner.state.floatbank5_a_air
0.01252,primary_cleaner.input.copper_sulfate_rat_secondary_cleaner.state.floatbank2_a_air
0.01247,value__kurtosis_p120_rougher.state.floatbank10_b_air
0.01247,value__mean_abs_change_p120_rougher.input.feed_rate
0.01245,deriv1_rougher.input.feed_zn_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01244,value__linear_trend__attr_slope_p12_rougher.input.feed_sol
0.01241,value__skewness_p12_rougher.input.feed_zn
0.01239,value__mean_abs_change_p12_secondary_cleaner.state.floatbank5_a_air
0.01238,rougher.state.floatbank10_a_level_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01224,value__fft_aggregated__aggtype_skew_p120_primary_cleaner.input.copper_sulfate
