iter	MAE
0	65.56750665
1	65.51851064
2	65.46914894
3	65.42011968
4	65.37042553
5	65.32110372
6	65.27135638
7	65.22220745
8	65.17298537
9	65.12420213
10	65.07432846
11	65.02547872
12	64.97628989
13	64.92736702
14	64.87794548
15	64.82860372
16	64.77950133
17	64.73045213
18	64.6812234
19	64.63226729
20	64.58308511
21	64.53385638
22	64.4847008
23	64.43526596
24	64.38638298
25	64.33700133
26	64.28816489
27	64.23941489
28	64.19029255
29	64.14136968
30	64.09238697
31	64.04304521
32	63.99384973
33	63.94421543
34	63.89540559
35	63.8459375
36	63.7968883
37	63.74763298
38	63.69840426
39	63.64910239
40	63.60025266
41	63.55132314
42	63.50208112
43	63.45299867
44	63.40345745
45	63.35391622
46	63.30511968
47	63.25601064
48	63.20683511
49	63.15793218
50	63.10878989
51	63.05945479
52	63.01047872
53	62.96098404
54	62.91214096
55	62.86303191
56	62.81387633
57	62.76477394
58	62.71523936
59	62.66599069
60	62.61649601
61	62.56750665
62	62.51859043
63	62.46938165
64	62.42039229
65	62.37105053
66	62.3218883
67	62.27242021
68	62.22327128
69	62.17386968
70	62.12482048
71	62.07577128
72	62.02679521
73	61.97759309
74	61.92863032
75	61.87887633
76	61.82968085
77	61.78053191
78	61.73098404
79	61.68172872
80	61.6325266
81	61.58290559
82	61.53359043
83	61.48390293
84	61.4346742
85	61.3849867
86	61.33556516
87	61.28640293
88	61.23690824
89	61.18744681
90	61.13803856
91	61.08854388
92	61.03898936
93	60.98924867
94	60.93962766
95	60.88988032
96	60.84026596
97	60.79039229
98	60.74081117
99	60.69119016
100	60.64151596
101	60.59176862
102	60.54209441
103	60.49243351
104	60.44276596
105	60.39323138
106	60.34357048
107	60.29395612
108	60.24443484
109	60.19477394
110	60.14511303
111	60.09551862
112	60.04585106
113	59.99612367
114	59.94639628
115	59.89673537
116	59.84694814
117	59.79722074
118	59.74743351
119	59.69771277
120	59.64792553
121	59.59813165
122	59.54834441
123	59.49856383
124	59.44876995
125	59.39898271
126	59.34920213
127	59.29940824
128	59.24962101
129	59.19983378
130	59.15003989
131	59.10025931
132	59.05046543
133	59.00067819
134	58.95089096
135	58.90117021
136	58.85138298
137	58.80159574
138	58.75180851
139	58.70202128
140	58.65223404
141	58.60244681
142	58.55265957
143	58.50287234
144	58.45307846
145	58.40329787
146	58.35353723
147	58.30383644
148	58.25413564
149	58.20446809
150	58.15476064
151	58.10505984
152	58.05534574
153	58.0056383
154	57.95593085
155	57.90623005
156	57.85652926
157	57.80682181
158	57.75711436
159	57.70741356
160	57.65770612
161	57.60800532
162	57.55829787
163	57.50858378
164	57.45888298
165	57.40916223
166	57.35944149
167	57.30974069
168	57.2600266
169	57.21031915
170	57.16061835
171	57.11091755
172	57.06121011
173	57.01148936
174	56.96177527
