,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
23,0.6842072658983941,0.006016006561909224,65.74178418332266,4.0,3.67843015983878
66,0.661485386790772,0.01806810158086652,68.55260918327303,8.0,3.6977568774573744
65,0.6677568941585844,0.01301746119677676,75.08849255663353,8.0,3.7197880315185974
25,0.6899120200849392,0.010471235237438063,70.04708568451011,9.0,3.7545727500471013
24,0.6787514752605683,0.01748985627974701,75.94193610783616,9.0,3.7593524267611653
67,0.6315423518710734,0.029972723466184084,68.05030016830362,6.0,3.7596506498345637
20,0.44975118027655353,0.011507690846099941,79.59596415119859,6.0,3.7625131024256016
22,0.6540256227073314,0.0127146031606718,65.22034604294201,5.0,3.7693690480394375
74,0.35230771082660417,0.03168150584410567,72.14140935426524,12.0,3.7823443219456614
59,0.5812238486912576,0.10239029420914389,65.72490267214265,11.0,3.874189866236935
72,0.5991477783345731,0.006453206227316375,60.599930988528115,50.0,3.9005768411956656
60,0.48790991061864397,0.05209254330808224,52.07094600537328,16.0,3.915290844697041
36,0.6169481324964908,0.11387150276169017,53.118203948275465,25.0,3.950267379664035
73,0.4235687336598138,0.06613356332298921,47.88165572715492,5.0,3.960766557132829
55,0.7530321984781695,0.144171024303319,69.12750485144224,9.0,3.997527890536755
54,0.9690995758820045,0.04656707321810365,23.14903476419662,14.0,4.0031515681000895
4,0.5274131882257889,0.17455802890354305,2.1931541416210334,17.0,4.009722916610371
18,0.8390717980489156,0.1257774884952543,70.74720206686675,9.0,4.026689350850203
40,0.9962607369290838,0.04465494355963166,57.32241727126557,7.0,4.0311517493378375
47,0.7046487724115346,0.08768994531834758,61.56737006850031,29.0,4.037167834300585
71,0.5459389032821376,0.09843127973824523,55.79989115183299,18.0,4.0378142605839855
37,0.7089490639954874,0.17928282880578775,71.30250838050515,15.0,4.045532241033446
31,0.8920652340840819,0.07594186647273313,47.121460998240565,24.0,4.047222730016855
53,0.32379453431908933,0.00650069215024922,13.43984592142948,31.0,4.075833462470923
68,0.6469995819857847,0.06989617982138567,74.06924593207916,8.0,4.0869870257441265
8,0.3929297509803147,0.24613457457962976,55.873805846951164,18.0,4.091440405634155
28,0.9473663361399356,0.5025298621587154,67.95166930393427,11.0,4.095584613214568
42,0.7943503824994449,0.1615930790429554,66.87341411475852,16.0,4.103550511942518
7,0.587618932298822,0.21285025624897091,35.1966049450476,31.0,4.103619746328205
79,0.789615578278831,0.8286756313463111,51.063923095842455,27.0,4.103716680757792
38,0.5183077355207549,0.6052791596409756,42.08184932407973,20.0,4.106907704302524
26,0.6723429697468793,0.08025364146484865,59.38685670203964,9.0,4.1069279843162825
78,0.8735202446338075,0.17301619986336805,54.50188709288054,22.0,4.109596468268667
32,0.7539324605160278,0.19750721688839404,53.28606830833924,40.0,4.113055378135929
1,0.950661015520746,0.07982489608029533,5.021802757954222,13.0,4.118672676945177
