,alpha,colsample_bytree,gamma,lambda,max_depth,min_child_weight,subsample,loss
65,31.109651116672293,0.06767056631316402,96.57669488382902,20.8484842695117,4.0,112.31254852699985,0.9914976797349039,6.278609486299509
23,12.93257238191184,0.25282184950500736,89.52929623965251,19.741370429809027,4.0,142.06595637913568,0.9060583537571548,6.311772174647073
21,25.18860432340931,0.22265189666525417,98.92581125779263,16.726164011816863,2.0,122.35814691237816,0.8858411682214024,6.324657023827102
70,39.07149071906597,0.22842605484404857,88.57399971888663,10.829952910621085,4.0,37.718202407019234,0.8791929657058294,6.3386136030064595
26,26.94790772948808,0.13970292025806968,91.6505447932641,20.427812446862596,4.0,71.91422623439483,0.9960789597510649,6.352243730328203
76,33.43721592607272,0.4345653753686636,87.2993821525579,31.655429705004835,4.0,7.228345589431593,0.8614394114138023,6.359055139530296
78,25.941850090989032,0.2481658271156953,90.82086328199462,2.497815380941553,4.0,73.92894847234817,0.9073426001276149,6.372948932958445
74,18.383974276726423,0.15893337217362416,98.17496726574647,28.232123148117537,4.0,26.704397686645386,0.9821170239311084,6.374637496002033
32,1.2235235879723696,0.0892915263869904,54.779835024380226,3.7392964248434097,4.0,1.3708059360826568,0.8894363913569997,6.382394228325528
52,16.554541940189825,0.1443429541549482,99.80782897143457,15.702538480277823,2.0,11.358625476313385,0.6261366236753985,6.39141847239459
66,40.60592733480109,0.2621194068834094,97.17765924198798,19.24192318323379,4.0,123.36848127600359,0.9001038661146343,6.395044709091379
99,31.07155981877475,0.39056873635580847,28.138005544213826,4.906235151185925,4.0,102.70735569568254,0.9162595032686197,6.440636364205693
14,14.13603371550415,0.23055811355367112,71.48055474044101,27.27784518921728,4.0,33.704729203719666,0.84084108852101,6.443933275744042
11,25.078208113139365,0.4100163008968489,19.629032272656627,25.16102684880357,2.0,29.651520459005397,0.8218470740272898,6.4524561591518355
22,36.36665744836429,0.25336466415669484,98.17461785658672,17.72090448821321,4.0,90.72984789366852,0.9973535022011476,6.463847790473169
67,35.67714040428706,0.06284558495686077,84.47699613789592,9.465214105818262,4.0,57.77373865116437,0.9975179603446527,6.474908153419707
73,15.453494778736854,0.09057936945421957,83.8569474967669,24.50400166891837,4.0,146.89719199714366,0.8277312256171625,6.485203660082589
79,28.568166086333093,0.06640388197210478,81.33271294713512,22.49101371588151,4.0,104.46551919531402,0.931884271838145,6.497934549002068
42,16.795513980537848,0.9300898007440226,59.25873729586649,4.329544384734133,2.0,0.022359228753234043,0.9752958762178309,6.505003220108738
40,33.35189105679322,0.9930513696164602,78.74333788642332,36.07404529799847,3.0,146.91334561176885,0.931411424179595,6.511836480488025
28,12.200091255448928,0.14690459485456542,84.92313526942901,11.785041836548212,4.0,64.9960797521825,0.8920941876191619,6.5132684531758835
47,47.73090853020243,0.21363323233369202,79.88797863585259,23.652570262259474,4.0,88.5605569680558,0.7079560006179827,6.514662375472892
85,27.358986094222253,0.08743136975174562,96.4259345870336,22.324519628587623,3.0,87.56905147110886,0.3195152191773621,6.515971868324971
33,29.060987799083275,0.3130998272056204,88.59789936589681,9.179456037768409,2.0,15.519916184558188,0.6752108523006203,6.523590308183454
19,15.345222890789763,0.5937533353747202,49.68513622163651,34.4636448053578,2.0,20.30067474083285,0.5930943692263817,6.5244205748803585
36,4.733282233417505,0.07751478857034083,42.48615438814087,22.452305006891383,3.0,54.73515309116545,0.9068747717701476,6.547066479664417
86,22.0228477140327,0.4620662174524001,70.31270770933912,8.205802038785158,4.0,19.726016399922816,0.5650005404134669,6.550817859109298
49,34.99515784036724,0.7124859549785774,29.360528439743568,30.546503408593356,4.0,21.19254531257138,0.946283132449078,6.551145104006089
7,4.76854393956545,0.5475994353349215,33.46525735460377,43.8924513712533,2.0,0.7928553490914958,0.583283066436224,6.552186873050499
97,38.801758996003414,0.425386236985979,38.071636063097756,15.343537886179565,2.0,24.183167291543967,0.9637583324499689,6.5536921529595045
96,9.496781334044977,0.05002538757347775,51.29672456946232,10.562643141004923,4.0,0.22855810290811895,0.9909097363534792,6.56256985220413
4,32.96712590386108,0.5550742110423442,36.40666670789575,23.3245675965228,4.0,12.935601676548954,0.5140327097260762,6.564315412604636
63,1.0040944714844215,0.3877250579253849,89.35430446705385,24.7372180356664,2.0,32.89448422614738,0.6965771635142137,6.566840384107214
75,21.570978189437923,0.3164815726017862,65.56197555484545,16.177666728148445,4.0,19.139153442862966,0.8012992398234874,6.571916935570219
68,32.1369160513679,0.11946345963670661,78.4091809252322,20.75527899328928,4.0,113.09864154680886,0.9220573640141737,6.576422973081575
37,14.472551138616419,0.4556998262151605,64.67887342551731,28.821136721858416,4.0,91.32990784097161,0.6929243769474717,6.577585867754045
31,11.967763738908557,0.17630614683064455,64.36253092974601,29.88695268283347,2.0,1.501940690027449,0.9619904475062532,6.582037913047078
62,8.800144380195928,0.16341099680837268,73.17294405954362,49.87161698403314,4.0,15.339321598056927,0.8485430032180908,6.598833380194575
83,35.129028592459235,0.12158228853380845,92.82808911799557,15.064075076220652,2.0,59.41825448763398,0.8317502146555991,6.602233560715846
25,38.5496223851138,0.3122682400979129,88.92309687136762,14.836683650711427,2.0,9.167857289350108,0.737568134924835,6.608028558809715
69,44.8011194255795,0.2881774175051074,99.87598952032363,26.712084646141427,4.0,78.99876827952394,0.9716824127327329,6.617644952399714
60,49.89131726685291,0.5546640884096372,39.04483992064402,7.674108303602331,3.0,0.0368765742343471,0.9428896769055186,6.618644338104278
93,11.384506938416015,0.4060625573102691,80.64444522875155,23.621854866448324,4.0,7.951177906911997,0.8541290970031511,6.619099421240604
91,13.281824575867422,0.6121663372695927,87.21926099713076,16.96154059181946,3.0,129.56413581186777,0.9409030718111684,6.620012836836978
20,25.677554091248005,0.2495265574141354,57.59089672963093,33.16690063341097,2.0,126.61076518955383,0.7345474891228494,6.62024101345956
98,6.66084730399632,0.36536819213611915,93.29477903859379,34.716470811891845,4.0,41.51462171356485,0.9999032392310805,6.627171960843785
24,23.26071723458072,0.19544912985009943,99.02828619576403,19.71192708153952,2.0,141.98307061181558,0.9184292505504452,6.62915270291854
95,36.58274139421687,0.3363875263311451,83.58511134157317,13.308319950010144,2.0,1.8106319424448392,0.8986650021846803,6.637884485740903
27,20.855609146523722,0.053289381228481425,70.23610568253434,31.8700284209555,2.0,0.086596087185074,0.7239507539642793,6.638834318652169
0,17.192663296659425,0.1260418713513196,82.63050611814609,11.234063369662717,4.0,0.6252411188857131,0.7937838197966449,6.64587314024575
77,37.4140199499334,0.13660832095366865,61.9332364432514,34.47180406491932,3.0,9.672991485613116,0.7359598485801708,6.646316790846102
10,30.178397178259125,0.4628769439070161,1.1932267890381434,46.88840318341854,3.0,4.538463579925803,0.8518637813629257,6.651755482707829
89,34.25229763167359,0.21422386486080064,95.27572143040517,27.704937139078133,2.0,37.464631806358156,0.8782830133164514,6.653467063028391
81,20.130573889210734,0.19340827589243753,71.70709792777134,19.671353787477194,4.0,148.30610365501016,0.9615509835491354,6.656531821530837
