,alpha,colsample_bytree,gamma,lambda,max_depth,min_child_weight,subsample,loss
71,23.377296227053005,0.08034389950677263,23.914925859134147,1.643817012389711,2.0,22.235121181602832,0.4249758468562286,6.201195102312919
72,18.54115518170859,0.08271166151354381,9.903405531571508,2.2467295928232076,2.0,17.145183789456354,0.43808748139802106,6.262667061541683
73,19.022872862748795,0.08047752643796388,11.884295240770658,2.809746023752297,2.0,24.01768361853128,0.4326790162135584,6.2746600758747855
77,16.08914476503564,0.10403773151274348,22.975250679928386,6.195324882976131,2.0,30.336400049261734,0.3530762454961652,6.3148806069315855
67,13.076207350023534,0.14654048709226566,33.48976414751978,0.1410264723243806,2.0,72.02720792555122,0.4971214222721537,6.32680650895954
88,24.89762771189011,0.08846701722408586,2.2918916109583396,4.906499701185142,2.0,68.5871858335182,0.3596267057292217,6.326822131395587
91,16.80582730811971,0.058018167442333415,27.35430343886767,10.095357511737474,2.0,9.721086533308382,0.4827104074361378,6.381698318310993
64,28.510464645162628,0.14519121156839349,30.691416329258885,8.53745200848834,2.0,3.54626928965513,0.5351014978995084,6.403872704831437
79,8.585451835709934,0.17536323796979653,7.241310799120516,0.15533306683421455,2.0,38.95418474025285,0.3747619385169616,6.428512133516567
65,22.21070837791555,0.14988674921448672,27.68571115853571,5.161241648236726,2.0,58.07239741479029,0.501565841642808,6.4458053408503195
97,27.365625407465913,0.07938885296500123,1.0680937437252958,5.955311074756661,2.0,4.361687029109428,0.61770562976078,6.45924868927086
27,42.45686133374808,0.050492584530351006,62.30297043812382,15.439249426159254,2.0,0.09712198394894161,0.6046352825861144,6.470320802784085
13,47.239038812804694,0.061241885504983926,93.986131877385,49.690197316278955,2.0,0.17144682028653185,0.4221528556360425,6.471209028315913
70,9.44899784567226,0.12968994185468247,21.628064390504818,8.932727447131718,2.0,86.67992677863722,0.4650438984965435,6.488758242542234
68,13.44971090292227,0.15246461671241038,30.6135455943269,0.16330431017512081,2.0,142.05806774133066,0.5047653559070899,6.490266855419568
42,44.15255071821405,0.17361381516180907,36.22399962766592,37.342205978437136,2.0,3.90902383641291,0.6685198298227487,6.504132196731211
30,45.56175890775534,0.9112166467661686,71.68128884272733,49.977527161851874,2.0,0.13319772086604234,0.6888993182474289,6.505916765705037
74,18.668992834142006,0.1902295666665378,2.196251001896192,2.183424786650341,2.0,25.20936757336291,0.31928830882037484,6.50723211504643
90,1.5541894149464603,0.18020647542898444,43.951783927808464,19.501519179113817,2.0,20.702391100982016,0.5526791564211511,6.518513030068187
75,23.925880193946025,0.07307027772254604,10.458608736988406,3.4762856209782087,2.0,13.72576781608325,0.43670120192390655,6.522891883865569
51,21.327116065719625,0.25790238550780326,91.42064844014905,22.594135832491446,2.0,6.110506380493699,0.3825451575694304,6.523954371368676
81,19.670093235304293,0.09217060720174636,12.13689038411702,3.737013521744762,2.0,10.838538165474091,0.445293750010552,6.53269162236068
57,17.46500874666575,0.8686342857425124,62.50020895319999,20.91175738756445,2.0,0.04394202590996354,0.5682418814820884,6.53555506627899
32,48.05753722620305,0.11211379455741906,63.679993824354426,8.440322514283439,2.0,0.4380674036478336,0.550363882046047,6.538213009428695
60,30.511775820880082,0.4200150988495626,82.04812110549605,24.03201566646006,2.0,0.423675913578123,0.9688159323426176,6.5482187938737715
0,28.473944735185658,0.0745977211113367,30.674925530284415,20.389983452667508,3.0,33.590718882240395,0.37030169940530466,6.552465643897006
78,25.61745560184322,0.22116306928796703,14.291208094816085,1.5281476514198178,2.0,24.450621322792625,0.4026635346856659,6.559702679059861
20,1.2462895314427165,0.08824659421057857,26.165238726741205,48.89202662244746,2.0,1.0290117274287536,0.47026355850794543,6.5761939581977495
69,17.6676213220664,0.20590281844359415,35.40064785007816,2.2501591816736144,2.0,52.86451490177458,0.4915965480101805,6.5809353611575965
93,29.254959571010204,0.11598607586422294,46.72434390959285,7.807516593801044,2.0,2.16683067900477,0.3132506092628703,6.601711784057993
48,33.58040434505369,0.10141161557111561,70.32641748061536,17.029207648393076,2.0,0.23586309244989628,0.4207040929583886,6.601891950746307
28,49.605957127794355,0.1496178792671667,99.06661440353577,14.796577302973976,2.0,0.0955054696183823,0.7285069870227423,6.602393020059089
10,19.524913652406877,0.4374480674359401,75.75692180507556,10.067586871533841,3.0,1.166381907704069,0.9315683905962768,6.602922911176492
31,41.37489210228985,0.05481821791189899,59.41937733749113,15.006917003069908,2.0,0.03719024789976079,0.4888585963973481,6.603151873783837
33,37.10422353246171,0.1734082291126327,74.29135740827815,21.730787362614105,2.0,0.15138250605399184,0.8175414067335414,6.617967116818701
16,23.445024131349797,0.3528418835271118,42.289754722353656,5.51148516804183,2.0,97.37555564834167,0.9967829485347817,6.627876716244576
89,17.97892982623824,0.6804977872892412,18.970416682891337,2.955792120718957,3.0,13.785704700740709,0.43183673768904407,6.630342190564126
99,26.341057163852607,0.05127821131279178,28.696818826405657,26.325974736525858,3.0,3.300266396324482,0.38727759490915137,6.638305427413323
41,32.77657506655833,0.39505714526967717,89.08056182997447,24.193931983263496,2.0,0.018552538813842383,0.5054334494417912,6.641929829537262
9,22.780581187032958,0.06933432975336211,93.08010354108997,11.60685856272366,3.0,9.28787594176134,0.8454584230891071,6.64985380962278
80,11.040401719784152,0.2321931071415884,3.5738504666009527,7.693489366401675,2.0,20.14436129968049,0.30724688487525176,6.650149145176697
24,30.575792503698874,0.2880048699732195,6.599895097959248,30.49976422052734,2.0,49.38902080443404,0.30616120042038286,6.653436713103334
37,39.0373360716069,0.2134877343775084,55.33120477174634,44.97842853098925,2.0,0.17701429951548406,0.7947653747955821,6.6553961541085425
55,37.96285895803811,0.570341141452003,19.01266578781192,10.439669435260752,2.0,15.908923097532854,0.7561702544647936,6.665328436803639
12,29.555980552837102,0.8074454248296024,55.800468126014145,16.909340374826332,2.0,9.695537092579189,0.6409880431199125,6.684188547476419
83,14.553310165394505,0.3101999640928966,39.91570323132501,11.104481544984683,2.0,7.729601320292872,0.5738509888171087,6.684228624687505
22,30.716994816833346,0.15249630543667897,1.1412058293563803,35.65432207217778,2.0,0.6594691849385244,0.7260123660952924,6.693768577608713
85,23.266076227578818,0.4800645829373318,16.257029256481328,15.67895611045833,2.0,129.7863526617765,0.3408396153340212,6.696801316709695
8,19.398409791902857,0.9804598493948242,81.89696128182834,6.747256265204754,3.0,17.085528736859093,0.986678871363821,6.7004401280248755
46,7.025208951734612,0.0510169960553635,53.416171463804815,41.81620301958341,4.0,0.05463546292981289,0.5355148698931764,6.702524547966802
61,5.671215864249994,0.969005944117611,57.33133590338241,41.07586651192522,4.0,0.06658625878199707,0.6631788505414077,6.708142544892209
38,45.98242387516211,0.536089865643965,85.96760140282035,30.750028786934138,2.0,0.03183436344694655,0.43013519245212645,6.708596481976244
66,21.884719862177363,0.24322556907360238,25.481973615983264,4.840432187732906,2.0,33.716253386572426,0.5410912846715846,6.713127264101384
43,40.25163216014712,0.7152321642102795,14.30530603457646,27.788674625055158,3.0,0.10336969575782023,0.9278145217024618,6.714669606804402
21,41.47034263036565,0.22880302910331257,26.08750237495834,17.941174896600764,2.0,0.08835548321974165,0.44811395844194246,6.71552011663504
4,10.304655427386917,0.4677126489250657,87.21075803911172,39.70560910213421,3.0,0.025904132568643934,0.8661467746673355,6.722730730610685
17,9.355772204107035,0.34287215768307716,81.45438494373045,30.466776339090895,2.0,0.28799885952757615,0.35279365883591873,6.726102964694192
23,49.96736151174345,0.059062252798108936,29.78994746046176,22.384768702984573,4.0,4.525083193458915,0.5807016833545212,6.726913676506535
87,31.43794142708942,0.3730845852569166,13.939123032033008,1.1056233556925537,4.0,107.75202493449116,0.46669703005189356,6.732400838872045
53,25.989817045627838,0.6657081556765623,52.50736140749906,32.52909148230212,2.0,0.5668266224904012,0.9131650674364786,6.738138213607784
7,11.318770217316509,0.8223032123058129,39.956421604239196,39.521797776376054,4.0,0.24755064882257058,0.9357795640523352,6.744417035437748
15,38.00092364727449,0.46131493734984563,59.243424632561606,27.407149899762274,3.0,27.32515680174629,0.3315737106834621,6.748040989771674
49,43.17535117728825,0.4306216783209536,42.46527235665913,3.7447604345318535,2.0,1.7389428847304231,0.6344273496071924,6.7517405354730435
86,12.19598613949385,0.6289517071225075,5.521289475886949,6.239958485222083,2.0,2.876489783748531,0.3821251206941672,6.755619715716499
35,32.71669075580242,0.6093703952756491,45.63241866139391,36.29340063834988,2.0,2.7703649640311494,0.6780317116455336,6.760784864325331
95,7.751330021228457,0.44869605177486216,34.177269261578815,17.06767944210044,2.0,13.123416077944626,0.513896642116829,6.763969548405482
98,10.239636112417587,0.3998097155928964,9.203067304254466,1.4946483400815072,2.0,92.72104681525043,0.4504451168723684,6.765354967559382
92,14.7948996768291,0.41614684145856345,37.697192343049494,12.347192436920714,2.0,6.28038673995737,0.4125814651927866,6.787436748810783
34,43.94000676463932,0.28647950279121376,88.08067204204293,14.24638526020276,2.0,0.06649550423775402,0.5939573645652668,6.7876864788637095
76,20.646234408503936,0.26734200997716184,17.365508097706755,11.453075824253709,2.0,7.733725172087833,0.4148891774269379,6.787724335603819
52,39.02520891616798,0.318608423856935,84.58733298051179,38.93830340372841,3.0,0.11730711426793,0.3294679072964001,6.796809888995155
47,28.12950821354524,0.33369678302348194,60.72526405391099,33.69582914618684,3.0,0.027393848359775236,0.3443936629866019,6.80305702781087
29,41.932909466709845,0.28341872529832274,99.51923750255216,0.8669166106154762,2.0,0.04784044208771234,0.599937281629817,6.817701514314254
40,15.736208357551929,0.25204966068638707,77.63846557415772,10.299174072417031,4.0,1.6007034472897081,0.6108302213112958,6.823758438119308
18,24.44137805950245,0.79297353721393,38.521862206351194,18.571998100744246,3.0,11.126907412774528,0.6361787520934372,6.828580599899877
63,40.74959431020639,0.31273038365072575,9.74555629667364,43.99976345092247,3.0,0.23853155305815618,0.36610194181055666,6.837374796894974
62,42.39321875734448,0.7662119705974654,91.93450404778925,16.768942166310808,2.0,0.1526249946331527,0.706256468410674,6.845605106001067
5,45.19771723491625,0.36165037684379103,50.078463009278806,33.36117441246016,3.0,75.48004737600941,0.7593934032786792,6.854335034236077
56,48.566192710998244,0.4737294877107979,72.64572438431587,18.984561180644054,3.0,0.07939604258025285,0.45643742472807547,6.8620238808117735
54,47.4349635340883,0.12976976380183503,67.30732600137942,28.613661904282928,4.0,1.3407921961682734,0.866873657099446,6.865558658970048
96,20.88573916856852,0.1998899684652771,25.037706859495003,4.60044640367541,3.0,18.593894485120888,0.6490729650767256,6.874159676030253
59,34.066031365228184,0.3817239658048458,95.86803443966468,7.243368222558635,2.0,0.8160719684508104,0.39915407441661216,6.8835743618614185
25,35.39756205782958,0.9984570358181828,32.38646556856943,46.12396481701863,3.0,2.4203622346986666,0.448646699230721,6.88473527318683
