feature_shap,feature
0.02634,rel_rougher.state.floatbank10_c_level_s3b0
0.02623,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.02619,value__max_slope_p12_rougher.input.floatbank11_xanthate
0.02565,deriv1_rougher.state.floatbank10_c_level
0.02559,value__quantile__q_0.05_p120_rougher.input.feed_rate
0.02555,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.02551,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.02549,rougher.input.feed_pb
0.02545,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.02533,value__linear_trend__attr_slope_p120_rougher.state.floatbank10_b_air
0.02523,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.02498,value__min_slope_p120_rougher.input.feed_pb
0.02496,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.02478,value__max_slope_p120_rougher.state.floatbank10_b_air
0.02453,diff_encod_val_rougher.input.feed_zn_s2b0
0.02428,deriv2_rougher.input.feed_zn
0.02407,value__min_slope_p12_rougher.input.floatbank10_copper_sulfate
0.02338,value__maximum_p6_rougher.input.floatbank10_copper_sulfate
0.02330,value__skewness_p120_rougher.state.floatbank10_b_air
0.02307,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.02268,rougher.input.feed_zn_normalized
0.02237,encod_dif_rougher.input.feed_fe
0.02230,rougher.input.floatbank11_xanthate
0.02224,value__quantile__q_0.05_p24_rougher.input.floatbank10_copper_sulfate
0.02136,value__linear_trend__attr_slope_p120_rougher.input.feed_sol
0.02101,value__max_slope_p120_rougher.input.feed_sol
0.02089,value__max_min_diff_p120_rougher.input.feed_fe
0.02066,value__fft_aggregated__aggtype_skew_p120_rougher.state.floatbank10_b_air
0.02061,value__fft_aggregated__aggtype_centroid_p120_rougher.state.floatbank10_b_air
0.02054,value__linear_trend__attr_slope_p120_rougher.input.feed_rate
0.02042,value__kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.02022,value__mean_abs_change_p24_rougher.input.feed_zn
0.02007,value__minimum_p6_rougher.input.feed_rate
0.01991,value__max_slope_p12_rougher.input.feed_zn
0.01979,rougher.state.floatbank10_d_level
0.01961,value__max_min_diff_p24_rougher.state.floatbank10_b_air
0.01935,value__quantile__q_0.05_p12_rougher.input.feed_sol
0.01927,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_fe
0.01920,value__linear_trend__attr_slope_p120_rougher.input.feed_pb
0.01919,value__min_slope_p24_rougher.state.floatbank10_b_air
0.01875,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.01845,value__linear_trend__attr_slope_p12_rougher.input.feed_fe
0.01828,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.01824,value__mean_abs_change_p120_rougher.input.feed_sol
0.01810,value__mean_abs_change_p120_rougher.input.feed_fe
0.01776,value__fft_aggregated__aggtype_kurtosis_p120_rougher.state.floatbank10_b_air
0.01775,value__skewness_p120_rougher.input.floatbank11_xanthate
0.01759,value__mean_abs_change_p6_rougher.input.floatbank10_copper_sulfate
0.01749,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.01748,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_zn
0.01686,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.01643,value__max_slope_p120_rougher.input.feed_rate
0.01637,value__mean_p6_rougher.state.floatbank10_b_air
0.01636,value__skewness_p120_rougher.input.feed_rate
0.01607,value__mean_abs_change_p24_rougher.state.floatbank10_b_air
0.01586,encod_dif_rougher.input.feed_zn
0.01573,value__kurtosis_p120_rougher.input.feed_zn
0.01573,value__kurtosis_p12_rougher.input.feed_rate
0.01568,rel_rougher.input.feed_rate_s3b0
0.01555,value__quantile__q_0.95_p24_rougher.input.feed_zn
0.01542,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_pb
0.01529,value__min_slope_p120_rougher.input.feed_fe
0.01505,value__linear_trend__attr_slope_p120_rougher.input.feed_fe
0.01502,deriv1_rougher.input.feed_pb
0.01478,value__max_slope_p24_rougher.input.feed_zn
0.01465,value__quantile__q_0.05_p24_rougher.input.feed_rate
0.01461,value__fft_aggregated__aggtype_variance_p120_rougher.state.floatbank10_b_air
0.01461,value__min_slope_p24_rougher.input.feed_fe
0.01451,value__skewness_p12_rougher.input.floatbank10_copper_sulfate
0.01449,dayw
0.01444,rougher.state.floatbank10_c_level
0.01437,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_sol
0.01430,value__max_slope_p120_rougher.input.floatbank11_xanthate
0.01419,value__max_slope_p6_rougher.input.feed_fe
0.01418,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_rate
0.01408,value__min_slope_p24_rougher.input.floatbank10_copper_sulfate
0.01404,value__mean_abs_change_p24_rougher.input.feed_rate
0.01400,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_pb
0.01387,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_pb
0.01376,rougher.input.floatbank11_copper_sulfate
0.01371,rougher.state.floatbank10_e_level
0.01367,value__min_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01358,deriv2_rougher.input.feed_fe
0.01352,value__mean_abs_change_p120_rougher.input.feed_rate
0.01340,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank11_xanthate
0.01337,value__min_slope_p6_rougher.input.floatbank10_copper_sulfate
0.01331,value__min_slope_p24_rougher.input.feed_rate
0.01321,diff_rougher.input.floatbank11_xanthate_s2b0
0.01319,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_sol
0.01317,value__linear_trend__attr_slope_p120_rougher.input.feed_zn
0.01312,value__min_slope_p24_rougher.input.feed_sol
0.01286,rougher.input.floatbank10_copper_sulfate
0.01275,rel_rougher.input.floatbank10_xanthate_s3b0
0.01270,value__min_slope_p6_rougher.input.feed_zn
0.01263,rel_rougher.input.feed_zn_s3b0
0.01255,value__kurtosis_p120_rougher.state.floatbank10_b_air
0.01250,value__max_slope_p12_rougher.input.feed_fe
0.01230,value__kurtosis_p120_rougher.input.feed_fe
0.01229,value__quantile__q_0.05_p24_rougher.input.feed_zn
0.01229,value__min_slope_p6_rougher.input.feed_rate
0.01229,value__maximum_p6_rougher.state.floatbank10_b_air
0.01227,value__min_slope_p120_rougher.input.feed_sol
0.01226,value__mean_abs_change_p12_rougher.input.floatbank10_copper_sulfate
0.01222,value__max_min_diff_p24_rougher.input.floatbank10_copper_sulfate
0.01164,value__max_min_diff_p120_rougher.input.floatbank10_copper_sulfate
0.01160,value__skewness_p24_rougher.input.feed_sol
0.01158,value__linear_trend__attr_slope_p12_rougher.input.feed_sol
0.01152,value__max_slope_p24_rougher.input.feed_sol
0.01152,deriv2_encod_rel_rougher.input.feed_zn
0.01136,value__quantile__q_0.95_p12_rougher.input.feed_zn
0.01128,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_sol
0.01125,value__linear_trend__attr_slope_p24_rougher.input.floatbank11_xanthate
0.01111,deriv1_rougher.input.feed_rate
0.01102,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank10_copper_sulfate
0.01098,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank10_copper_sulfate
0.01083,rougher.state.floatbank10_b_air_normalized
0.01077,value__max_min_diff_p24_rougher.input.feed_fe
0.01071,rougher.input.floatbank11_xanthate_normalized
0.01070,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_sol
0.01070,diff_rougher.input.feed_sol_s3b1
0.01055,diff_rougher.state.floatbank10_d_air_s2b0
0.01055,value__kurtosis_p24_rougher.input.feed_fe
0.01047,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_rate
0.01043,value__mean_abs_change_p120_rougher.input.feed_zn
0.01040,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_zn
0.01031,value__max_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01030,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_rate
0.01021,rel_rougher.input.feed_sol_s3b0
0.01019,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_zn
0.01017,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_fe
0.01016,value__kurtosis_p24_rougher.state.floatbank10_b_air
0.01012,value__min_slope_p24_rougher.input.floatbank11_xanthate
0.01006,value__skewness_p120_rougher.input.feed_pb
0.00984,value__kurtosis_p120_rougher.input.floatbank11_xanthate
0.00981,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_zn
0.00972,value__max_min_diff_p12_rougher.input.floatbank11_xanthate
0.00953,deriv2_rougher.input.floatbank10_xanthate
0.00946,value__skewness_p12_rougher.input.feed_fe
